491: Skřítek| ID:2 |Čekám ve skřítkovské frontě
491: Skřítek| ID:3 |Čekám ve skřítkovské frontě
419: Skřítek| ID:18 |Potřebuji pomoc
427: Skřítek| ID:30 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:57 |Začínám
427: Skřítek| ID:18 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:58 |Začínám
411: Skřítek| ID:57 |Pracuji
419: Skřítek| ID:31 |Potřebuji pomoc
411: Skřítek| ID:58 |Pracuji
403: Skřítek| ID:59 |Začínám
427: Skřítek| ID:31 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:32 |Potřebuji pomoc
411: Skřítek| ID:59 |Pracuji
403: Skřítek| ID:60 |Začínám
427: Skřítek| ID:32 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:33 |Potřebuji pomoc
411: Skřítek| ID:60 |Pracuji
403: Skřítek| ID:61 |Začínám
427: Skřítek| ID:33 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:62 |Začínám
411: Skřítek| ID:61 |Pracuji
403: Skřítek| ID:63 |Začínám
411: Skřítek| ID:62 |Pracuji
419: Skřítek| ID:62 |Potřebuji pomoc
411: Skřítek| ID:63 |Pracuji
403: Skřítek| ID:64 |Začínám
427: Skřítek| ID:62 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:65 |Začínám
411: Skřítek| ID:64 |Pracuji
419: Skřítek| ID:35 |Potřebuji pomoc
411: Skřítek| ID:65 |Pracuji
403: Skřítek| ID:66 |Začínám
427: Skřítek| ID:35 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:36 |Potřebuji pomoc
411: Skřítek| ID:66 |Pracuji
403: Skřítek| ID:67 |Začínám
427: Skřítek| ID:36 |Čekám dokud je Santa vzhůru
419: Skřítek| ID:37 |Potřebuji pomoc
411: Skřítek| ID:67 |Pracuji
403: Skřítek| ID:124 |Začínám
427: Skřítek| ID:37 |Čekám dokud je Santa vzhůru
403: Skřítek| ID:69 |Začínám
411: Skřítek| ID:124 |Pracuji
419: Skřítek| ID:38 |Potřebuji pomoc
411: Skřítek| ID:69 |Pracuji
403: Skřítek| ID:70 |Začínám
